name,URL,Works on
ABC REAL ESTATES,https://abcreal.com.bd/,"['Real Estate', 'Projects', 'Projects', 'Commercial', 'Residential']"
Abul Khair Steel,http://abulkhairsteel.com/,['steel']
ADTL reale state,https://adtlrealestate.com/,"['Concrete', 'mega project', 'Bridge', 'Real Estate', 'Projects', 'Projects', 'Commercial', 'Residential', 'building material', 'water', 'import', 'export', 'local', 'international']"
Anwar Landmark Limited,https://anwarlandmark.com/,"['partner', 'Real Estate', 'Projects', 'Projects', 'steel', 'Commercial', 'Residential']"
Arif Traders,https://arif-traders-mannara-bazar.business.site/,"['steel', 'building material']"
Bauwerk Ltd,https://bauwerk.ltd/,"['Concrete', 'partner', 'steel', 'coring', 'distributor']"
Bay Developments Ltd.,https://baydevelopments.com/,"['Concrete', 'Real Estate', 'Projects', 'Projects', 'Commercial', 'Residential', 'building material']"
Building a Safer Nation (BSRM),https://bsrm.com/,"['Projects', 'Projects', 'steel', 'supplier', 'manufacture', 'international']"
BTI - Building Technology and Ideas ,https://btibuildingproducts.com/,"['Concrete', 'Residential', 'building material']"
Buildstone Construction co.,https://buildstonebd.com/,"['Railway', 'Concrete', 'Bridge', 'Renovation', 'Roads', 'partner', 'Real Estate', 'Projects', 'Projects', 'steel', 'Governmental', 'iron', 'Commercial', 'Residential', 'oil', 'gas', 'water', 'plumbing', 'electrical']"
Concord Ltd.,https://concordrealestatebd.com/,"['Concrete', 'Real Estate', 'Projects', 'Projects', 'steel', 'Commercial', 'Residential', 'water', 'local', 'international']"
Edison Group,https://edisonrealestatebd.com/,"['Concrete', 'Real Estate', 'Projects', 'Projects', 'Commercial', 'Residential', 'build']"
GLG Assets Ltd.,https://glgassets.com/,"['partner', 'Real Estate', 'Projects', 'Projects', 'build', 'local']"
Hitech Steel & re-Rolling Mills,https://hitech-bd.com/,"['steel', 'iron']"
Haque Specialized Group,http://hsg.com.bd/,"['Solar energy', 'rail', 'steel', 'energy']"
Imart Construction LTD.,http://imartconstruction.com/,"['Renovation', 'Projects', 'Projects', 'Industrial', 'build', 'import', 'export', 'local']"
Lite Weight Concrete,https://liteweightconcretebd.com/,"['Concrete', 'Industrial', 'building material', 'water']"
Mazid Sons Construction Ltd.,https://mazidsons.com/,"['Roads', 'Projects', 'Projects', 'Industrial', 'Residential', 'water', 'electrical', 'build', 'local']"
Mir Akhter Hossain Limited,https://mirakhter.com/,"['Railway', 'ERP', 'Concrete', 'Bridge', 'Renovation', 'Power Plants', 'partner', 'installation', 'healthcare', 'Real Estate', 'Projects', 'Projects', 'Commercial', 'Residential', 'gas', 'energy', 'water', 'commerce', 'manufacture', 'international']"
Mirpur Ceramic Works,https://mirpurceramic.com,"['Projects', 'Projects']"
