Country,2022,2021,2020,2019,2018
United States,"$25,462,700,000,000","$23,315,080,560,000","$21,060,473,613,000","$21,380,976,119,000","$20,533,057,312,000"
China,"$17,963,170,521,080","$17,820,459,342,451","$14,687,743,556,970","$14,279,968,485,748","$13,894,907,485,399"
Japan,"$4,231,141,201,863","$5,005,536,736,792","$5,048,789,595,589","$5,117,993,853,017","$5,040,880,939,325"
Germany,"$4,072,191,736,090","$4,259,934,911,822","$3,889,668,895,300","$3,888,226,035,921","$3,974,443,355,020"
India,"$3,385,089,881,935","$3,150,306,834,280","$2,671,595,389,576","$2,835,606,242,052","$2,702,929,639,862"
United Kingdom,"$3,070,667,732,359","$3,122,480,345,925","$2,704,609,160,088","$2,857,057,847,953","$2,878,152,147,316"
France,"$2,782,905,325,625","$2,957,879,759,264","$2,639,008,701,648","$2,728,870,246,706","$2,790,956,878,747"
Russia,"$2,240,422,438,363","$1,836,892,075,548","$1,493,075,887,460","$1,693,114,993,990","$1,657,328,764,646"
Canada,"$2,139,840,023,674","$2,001,486,745,424","$1,647,598,402,303","$1,743,725,183,673","$1,725,297,938,436"
Italy,"$2,010,431,598,465","$2,114,355,756,914","$1,897,210,466,668","$2,011,302,198,827","$2,091,932,426,267"
Brazil,"$1,920,095,560,995","$1,649,622,972,159","$1,476,107,292,037","$1,873,288,159,001","$1,916,933,708,404"
Australia,"$1,675,418,665,067","$1,552,703,151,616","$1,326,944,627,877","$1,392,218,527,563","$1,428,266,513,154"
South Korea,"$1,665,245,538,595","$1,810,955,871,381","$1,644,312,785,467","$1,651,422,932,448","$1,724,845,615,629"
Mexico,"$1,414,187,193,992","$1,272,838,810,896","$1,090,514,966,786","$1,269,009,571,611","$1,222,405,556,421"
Spain,"$1,397,509,272,054","$1,427,380,681,295","$1,276,962,685,648","$1,394,320,055,129","$1,421,702,715,218"
Indonesia,"$1,319,100,220,389","$1,186,505,455,721","$1,059,054,842,712","$1,119,099,871,386","$1,042,271,532,953"
Saudi Arabia,"$1,108,148,978,218","$868,585,871,465","$734,271,183,955","$838,564,705,625","$846,583,785,180"
Netherlands,"$991,114,635,529","$1,011,798,853,062","$909,793,466,661","$910,194,347,569","$914,043,438,180"
Turkey,"$905,987,824,096","$819,034,484,303","$720,288,811,762","$759,934,804,372","$778,476,714,088"
Switzerland,"$807,706,035,352","$800,640,155,387","$739,913,619,797","$721,369,112,727","$725,562,534,364"
Poland,"$688,176,605,955","$679,441,900,611","$599,442,783,603","$596,058,473,059","$588,779,850,763"
Argentina,"$632,770,284,409","$487,227,125,386","$385,540,406,816","$447,754,686,715","$524,819,898,587"
Sweden,"$585,939,170,124","$636,856,236,396","$547,054,174,236","$533,879,529,188","$555,455,371,487"
Norway,"$579,267,365,866","$490,293,364,377","$367,633,418,887","$408,742,840,909","$439,788,625,884"
Belgium,"$578,604,103,123","$594,351,961,634","$525,213,067,068","$535,865,692,402","$543,299,066,999"
Ireland,"$529,244,870,223","$504,182,603,276","$425,852,281,928","$399,321,701,632","$385,736,680,797"
Israel,"$522,033,446,212","$488,526,545,879","$413,267,669,232","$402,470,513,619","$376,691,526,553"
UAE,"$507,534,921,715","$415,021,590,688","$349,473,015,330","$417,989,721,743","$427,049,432,158"
Thailand,"$495,340,592,811","$505,568,057,004","$500,457,261,548","$543,976,695,639","$506,754,212,433"
Nigeria,"$477,386,120,636","$440,833,583,992","$432,198,936,002","$474,517,470,743","$421,739,210,176"
Egypt,"$476,747,720,365","$424,671,765,456","$383,817,841,547","$318,678,815,490","$262,588,632,527"
Austria,"$471,400,066,091","$480,368,403,893","$435,225,238,000","$444,621,176,101","$454,991,174,096"
Singapore,"$466,788,539,652","$423,796,995,373","$348,392,174,864","$376,837,488,317","$376,869,585,632"
Bangladesh,"$460,201,000,095","$416,264,802,185","$373,902,196,399","$351,238,397,264","$321,379,163,136"
Vietnam,"$408,802,379,068","$366,137,590,718","$346,615,750,167","$334,365,257,920","$310,106,472,643"
Malaysia,"$406,305,924,656","$372,981,073,018","$337,339,463,180","$365,177,744,321","$358,788,833,525"
South Africa,"$405,869,718,462","$419,015,636,065","$337,619,569,571","$388,531,226,582","$404,158,882,459"
Philippines,"$404,284,327,312","$394,087,362,017","$361,751,145,432","$376,823,404,773","$346,841,896,890"
Denmark,"$395,403,906,582","$398,303,272,764","$355,222,449,505","$346,498,737,962","$356,841,216,410"
Iran,"$388,544,468,140","$359,096,907,773","$239,735,486,746","$283,649,531,543","$327,900,695,066"
Pakistan,"$376,532,751,807","$348,262,544,719","$300,425,609,206","$320,909,472,926","$356,128,167,703"
Hong Kong,"$359,838,598,806","$368,911,387,845","$344,943,149,590","$363,074,560,517","$361,731,070,996"
Colombia,"$343,939,445,259","$318,511,813,577","$270,150,956,773","$323,031,701,211","$334,198,218,101"
