Country,2022,2021,2020,2019,2018
India,"1,417,173,173","1,407,563,842","1,396,387,127","1,383,112,050","1,369,003,306"
China,"1,412,175,000","1,412,360,000","1,411,100,000","1,407,745,000","1,402,760,000"
United States,"333,287,557","332,031,554","331,511,512","328,329,953","326,838,199"
Indonesia,"275,501,339","273,753,191","271,857,970","269,582,878","267,066,843"
Pakistan,"235,824,862","231,402,117","227,196,741","223,293,280","219,731,479"
Nigeria,"218,541,212","213,401,323","208,327,405","203,304,492","198,387,623"
Brazil,"215,313,498","214,326,223","213,196,304","211,782,878","210,166,592"
Bangladesh,"171,186,372","169,356,251","167,420,951","165,516,222","163,683,958"
Russia,"143,555,736","143,449,286","144,073,139","144,406,261","144,477,859"
Mexico,"127,504,125","126,705,138","125,998,302","125,085,311","124,013,861"
Japan,"125,124,989","125,681,593","126,261,000","126,633,000","126,811,000"
Ethiopia,"123,379,924","120,283,026","117,190,911","114,120,594","111,129,438"
Philippines,"115,559,009","113,880,328","112,190,977","110,380,804","108,568,836"
Egypt,"110,990,103","109,262,178","107,465,134","105,618,671","103,740,765"
Democratic Republic Of Congo,"99,010,212","95,894,118","92,853,164","89,906,890","87,087,355"
Vietnam,"98,186,856","97,468,029","96,648,685","95,776,716","94,914,330"
Iran,"88,550,570","87,923,432","87,290,193","86,564,202","85,617,562"
Turkey,"85,341,241","84,775,404","84,135,428","83,481,684","82,809,304"
Germany,"84,079,811","83,196,078","83,160,871","83,092,962","82,905,782"
Thailand,"71,697,030","71,601,103","71,475,664","71,307,763","71,127,802"
France,"67,935,660","67,749,632","67,571,107","67,388,001","67,158,348"
United Kingdom,"66,971,411","67,026,300","67,081,234","66,836,327","66,460,344"
Tanzania,"65,497,748","63,588,334","61,704,518","59,872,579","58,090,443"
South Africa,"59,893,885","59,392,255","58,801,927","58,087,055","57,339,635"
Italy,"58,856,847","59,109,668","59,438,851","59,729,081","60,421,760"
Myanmar,"54,179,306","53,798,084","53,423,198","53,040,212","52,666,014"
Kenya,"54,027,487","53,005,614","51,985,780","50,951,450","49,953,304"
Colombia,"51,874,024","51,516,562","50,930,662","50,187,406","49,276,961"
South Korea,"51,628,117","51,744,876","51,836,239","51,764,822","51,585,058"
Spain,"47,615,034","47,415,750","47,365,655","47,134,837","46,797,754"
Uganda,"47,249,585","45,853,778","44,404,611","42,949,080","41,515,395"
Sudan,"46,874,204","45,657,202","44,440,486","43,232,093","41,999,059"
Argentina,"46,234,830","45,808,747","45,376,763","44,938,712","44,494,502"
Algeria,"44,903,225","44,177,969","43,451,666","42,705,368","41,927,007"
Iraq,"44,496,122","43,533,592","42,556,984","41,563,520","40,590,700"
Afghanistan,"41,128,771","40,099,462","38,972,230","37,769,499","36,686,784"
Canada,"38,929,902","38,226,498","38,007,166","37,601,230","37,065,084"
Ukraine,"38,000,000","43,792,855","44,132,049","44,386,203","44,622,518"
Poland,"37,561,599","37,747,124","37,899,070","37,965,475","37,974,750"
Morocco,"37,457,971","37,076,584","36,688,772","36,304,408","35,927,511"
Saudi Arabia,"36,408,820","35,950,396","35,997,107","35,827,362","35,018,133"
Uzbekistan,"35,648,100","34,915,100","34,232,050","33,580,350","32,956,100"
Angola,"35,588,987","34,503,774","33,428,486","32,353,588","31,273,533"
Peru,"34,049,588","33,715,471","33,304,756","32,824,861","32,203,944"
Malaysia,"33,938,221","33,573,874","33,199,993","32,804,020","32,399,271"
Yemen,"33,696,614","32,981,641","32,284,046","31,546,691","30,790,513"
Ghana,"33,475,870","32,833,031","32,180,401","31,522,290","30,870,641"
Mozambique,"32,969,518","32,077,072","31,178,239","30,285,595","29,423,878"
Nepal,"30,547,580","30,034,989","29,348,627","28,832,496","28,506,712"
Madagascar,"29,611,714","28,915,653","28,225,177","27,533,134","26,846,541"
Venezuela,"28,301,696","28,199,867","28,490,453","28,971,683","29,825,653"
Cameroon,"27,914,536","27,198,628","26,491,087","25,782,341","25,076,747"
Niger,"26,207,977","25,252,722","24,333,639","23,443,393","22,577,058"
North Korea,"26,069,416","25,971,909","25,867,467","25,755,441","25,638,149"
Australia,"25,978,935","25,688,079","25,655,289","25,340,217","24,966,643"
Burkina Faso,"22,673,762","22,100,683","21,522,626","20,951,639","20,392,723"
Mali,"22,593,590","21,904,983","21,224,040","20,567,424","19,934,298"
Sri Lanka,"22,181,000","22,156,000","21,919,000","21,803,000","21,670,000"
Syrian Arab Republic,"22,125,249","21,324,367","20,772,595","20,098,251","19,333,463"
Malawi,"20,405,317","19,889,742","19,377,061","18,867,337","18,367,883"
Zambia,"20,017,675","19,473,125","18,927,715","18,380,477","17,835,893"
Kazakhstan,"19,621,972","19,000,988","18,755,666","18,513,673","18,276,452"
Chile,"19,603,733","19,493,184","19,300,315","19,039,485","18,701,450"
Romania,"18,956,666","19,119,880","19,265,250","19,371,648","19,473,970"
Ecuador,"18,001,000","17,797,737","17,588,595","17,343,740","17,015,672"
Chad,"17,723,315","17,179,740","16,644,701","16,126,866","15,604,210"
Netherlands,"17,703,090","17,533,044","17,441,500","17,344,874","17,231,624"
Somalia,"17,597,511","17,065,581","16,537,016","15,981,300","15,411,094"
Guatemala,"17,357,886","17,109,746","16,858,333","16,604,026","16,346,950"
Senegal,"17,316,449","16,876,720","16,436,120","16,000,781","15,574,909"
Cambodia,"16,767,842","16,589,023","16,396,860","16,207,746","16,025,238"
Zimbabwe,"16,320,537","15,993,524","15,669,666","15,354,608","15,052,184"
Guinea,"13,859,341","13,531,906","13,205,153","12,877,539","12,554,864"
Rwanda,"13,776,698","13,461,888","13,146,362","12,835,028","12,531,808"
Benin,"13,352,864","12,996,895","12,643,123","12,290,444","11,940,683"
Burundi,"12,889,576","12,551,213","12,220,227","11,874,838","11,493,472"
Tunisia,"12,356,117","12,262,946","12,161,723","12,049,314","11,933,041"
Bolivia,"12,224,110","12,079,472","11,936,162","11,777,315","11,606,905"
Belgium,"11,669,446","11,592,952","11,538,604","11,488,980","11,427,054"
Haiti,"11,584,996","11,447,569","11,306,801","11,160,438","11,012,421"
Jordan,"11,285,869","11,148,278","10,928,721","10,698,683","10,459,865"
Dominican Republic,"11,228,821","11,117,873","10,999,664","10,881,882","10,765,531"
Cuba,"11,212,191","11,256,372","11,300,698","11,316,697","11,328,244"
South Sudan,"10,913,164","10,748,272","10,606,227","10,447,666","10,395,329"
Greece,"10,566,531","10,641,221","10,698,599","10,721,582","10,732,882"
Czech Republic,"10,526,073","10,505,772","10,697,858","10,671,870","10,629,928"
Sweden,"10,486,941","10,415,811","10,353,442","10,278,887","10,175,214"
Honduras,"10,432,860","10,278,345","10,121,763","9,958,829","9,792,850"
Portugal,"10,379,007","10,325,147","10,297,081","10,286,263","10,283,822"
Azerbaijan,"10,175,016","10,137,750","10,093,121","10,024,283","9,939,771"
Papua New Guinea,"10,142,619","9,949,437","9,749,640","9,542,486","9,329,227"
Tajikistan,"9,952,787","9,750,064","9,543,207","9,337,003","9,128,132"
Hungary,"9,683,505","9,709,891","9,750,149","9,771,141","9,775,564"
