Country,2022,2021,2020,2019,2018
South Africa,29.81%,28.77%,24.34%,25.54%,24.22%
Djibouti,27.93%,27.95%,28.05%,26.32%,26.15%
West Bank And Gaza,25.72%,26.39%,25.89%,25.34%,26.26%
Eswatini,24.39%,24.56%,25.08%,22.78%,22.76%
Republic Of Congo,21.80%,22.24%,22.52%,20.61%,20.64%
Gabon,21.47%,21.84%,21.73%,20.70%,20.75%
Namibia,20.85%,21.27%,21.24%,20.00%,19.88%
Botswana,20.68%,21.16%,21.02%,20.09%,19.84%
Libya,20.68%,20.61%,20.34%,19.61%,19.45%
Somalia,20.05%,19.93%,19.57%,18.83%,18.87%
St. Vincent And The Grenadines,18.98%,20.40%,20.55%,19.09%,19.02%
Sudan,18.73%,19.05%,19.29%,17.59%,17.57%
Lesotho,18.04%,18.29%,18.46%,16.88%,16.92%
Jordan,17.87%,18.44%,19.21%,16.80%,18.26%
St. Lucia,17.36%,19.52%,20.39%,15.32%,19.08%
Tunisia,16.12%,16.26%,16.37%,15.13%,15.46%
Iraq,15.55%,16.17%,16.23%,15.11%,14.07%
Montenegro,15.40%,16.87%,17.88%,15.13%,15.19%
Sao Tome And Principe,15.32%,15.34%,15.44%,14.08%,14.00%
North Macedonia,15.08%,15.78%,16.55%,17.39%,21.20%
Haiti,14.84%,15.02%,15.09%,13.78%,13.76%
Bosnia,14.05%,14.90%,15.27%,15.69%,18.40%
Yemen,13.59%,13.89%,13.58%,12.98%,13.08%
Cabo Verde,13.57%,13.91%,14.88%,12.21%,12.17%
French Polynesia,13.10%,13.27%,13.67%,12.14%,12.08%
Spain,13.01%,14.78%,15.53%,14.10%,15.25%
Rwanda,13.01%,13.32%,13.01%,12.43%,12.10%
South Sudan,12.98%,13.49%,13.75%,12.20%,12.23%
Lebanon,12.64%,12.50%,12.97%,11.30%,10.73%
Armenia,12.56%,12.73%,12.18%,12.20%,13.21%
Virgin Islands (U.S.),12.38%,13.17%,13.26%,12.35%,12.25%
